📝 Text Input (English only),🔊 Google Text to Speech Audio Output,📝 Moonshine Transcription Output,📝 Faster-Whisper Tiny Transcription Output,📈 Statistics Output,📊 Chart,📈 Cumulative Statistics Output,📊 Cumulative Chart,timestamp
"The quick brown fox jumps over the lazy dog.
",.gradio\flagged\ Google Text to Speech Audio Output\3651223a0e678a8892d7\tmpb_o7pow8.wav,the quick brown fox jumps over the lazy dog,the quick brown fox jumps over the lazy dog,"Percentage Difference Latency: 8.98x
Absolute Difference Latency: 9.60 seconds

Moonshine Latency: 10.67 seconds
Faster-Whisper Tiny Latency: 1.07 seconds

WER Moonshine: 0.00%
WER Faster-Whisper Tiny: 0.00%",.gradio\flagged\ Chart\14fa75a4859d91d27c96\latency_and_wer_comparison.png,"Total Runs: 1

Average Percentage Difference Latency: 8.98x
Average Absolute Difference Latency: 9.60 seconds

Average Moonshine Latency: 10.67 seconds
Average Faster-Whisper Tiny Latency: 1.07 seconds

Average Moonshine WER: 0.00%
Average Faster-Whisper Tiny WER: 0.00%",.gradio\flagged\ Cumulative Chart\07dd554179e4322207ae\cumulative_latency_and_wer_comparison.png,2024-10-26 17:47:23.188097
"As the sun set, the sky transformed into a breathtaking canvas of colors that captivated everyone watching.
",.gradio\flagged\ Google Text to Speech Audio Output\78b5d8bcf519dea85966\tmpub2x1sgk.wav,as this unset the sky transformed into a breathtaking canvas of colors that captivated everyone watching,as the sunset the sky transformed into a breathtaking canvas of colours that captivated everyone watching,"Percentage Difference Latency: 9.94x
Absolute Difference Latency: 9.97 seconds

Moonshine Latency: 10.98 seconds
Faster-Whisper Tiny Latency: 1.00 seconds

WER Moonshine: 17.65%
WER Faster-Whisper Tiny: 17.65%",.gradio\flagged\ Chart\0e3f1eab1a89fbbc73e9\latency_and_wer_comparison.png,"Total Runs: 2

Average Percentage Difference Latency: 9.46x
Average Absolute Difference Latency: 9.79 seconds

Average Moonshine Latency: 10.82 seconds
Average Faster-Whisper Tiny Latency: 1.04 seconds

Average Moonshine WER: 8.82%
Average Faster-Whisper Tiny WER: 8.82%",.gradio\flagged\ Cumulative Chart\73df289282f5d5e27d53\cumulative_latency_and_wer_comparison.png,2024-10-26 17:48:23.545784
"Exploring the depths of the ocean reveals a world of mystery and wonder, filled with creatures both strange and beautiful.
",.gradio\flagged\ Google Text to Speech Audio Output\ed5476f979d47c046075\tmp_j058plb.wav,exploring the depths of the ocean reveals a world of mystery and wonder filled with creatures both strange and beautiful,exploring the depths of the ocean reveals a world of mystery and wonder filled with creatures both strange and beautiful,"Percentage Difference Latency: 9.64x
Absolute Difference Latency: 11.03 seconds

Moonshine Latency: 12.17 seconds
Faster-Whisper Tiny Latency: 1.14 seconds

WER Moonshine: 0.00%
WER Faster-Whisper Tiny: 0.00%",.gradio\flagged\ Chart\f953e577b066cb0eef2d\latency_and_wer_comparison.png,"Total Runs: 3

Average Percentage Difference Latency: 9.52x
Average Absolute Difference Latency: 10.20 seconds

Average Moonshine Latency: 11.27 seconds
Average Faster-Whisper Tiny Latency: 1.07 seconds

Average Moonshine WER: 5.88%
Average Faster-Whisper Tiny WER: 5.88%",.gradio\flagged\ Cumulative Chart\04aac395d862d225deee\cumulative_latency_and_wer_comparison.png,2024-10-26 17:49:04.814963
"Time flies when you're having fun, but it also teaches us valuable lessons about patience and resilience.
",.gradio\flagged\ Google Text to Speech Audio Output\69fff3c48e63e3853129\tmp3dc5yen9.wav,time flies when you are having fun but it also teaches us valuable lessons about patience and resilience,time flies when you are having fun but it also teaches us valuable lessons about patients and resilience,"Percentage Difference Latency: 9.19x
Absolute Difference Latency: 11.21 seconds

Moonshine Latency: 12.43 seconds
Faster-Whisper Tiny Latency: 1.22 seconds

WER Moonshine: 0.00%
WER Faster-Whisper Tiny: 5.56%",.gradio\flagged\ Chart\147c4c1d07f4c0579b1e\latency_and_wer_comparison.png,"Total Runs: 4

Average Percentage Difference Latency: 9.44x
Average Absolute Difference Latency: 10.45 seconds

Average Moonshine Latency: 11.56 seconds
Average Faster-Whisper Tiny Latency: 1.11 seconds

Average Moonshine WER: 4.41%
Average Faster-Whisper Tiny WER: 5.80%",.gradio\flagged\ Cumulative Chart\7556321f75f0afb1aee4\cumulative_latency_and_wer_comparison.png,2024-10-26 17:49:44.424039
"A day without laughter is a day wasted, according to Charlie Chaplin, who understood the power of joy.
",.gradio\flagged\ Google Text to Speech Audio Output\11cd96740af6d41dbfc6\tmp8t1mlfyc.wav,a day without laughter is a day wasted according to charlie chaplin who understood the power of joy,a day without laughter is a day wasted according to charlie chaplin who understood the power of joy,"Percentage Difference Latency: 9.09x
Absolute Difference Latency: 9.45 seconds

Moonshine Latency: 10.49 seconds
Faster-Whisper Tiny Latency: 1.04 seconds

WER Moonshine: 0.00%
WER Faster-Whisper Tiny: 0.00%",.gradio\flagged\ Chart\e871571fcc2f197f4f9e\latency_and_wer_comparison.png,"Total Runs: 5

Average Percentage Difference Latency: 9.37x
Average Absolute Difference Latency: 10.25 seconds

Average Moonshine Latency: 11.35 seconds
Average Faster-Whisper Tiny Latency: 1.09 seconds

Average Moonshine WER: 3.53%
Average Faster-Whisper Tiny WER: 4.64%",.gradio\flagged\ Cumulative Chart\9c658bebc4eeb1e0e0c1\cumulative_latency_and_wer_comparison.png,2024-10-26 17:50:14.921882
"The ancient ruins whispered secrets of civilizations long gone, echoing stories of their triumphs and tragedies.
",.gradio\flagged\ Google Text to Speech Audio Output\1a1199bbc1a795a14458\tmp_f7as8sm.wav,the ancient ruins whispered secrets of civilizations long gone echoing stories of their triumphs and tragedies,the ancient ruins whispered secrets of civilizations long gone echoing stories of their triumphs and tragedies,"Percentage Difference Latency: 10.72x
Absolute Difference Latency: 10.33 seconds

Moonshine Latency: 11.29 seconds
Faster-Whisper Tiny Latency: 0.96 seconds

WER Moonshine: 0.00%
WER Faster-Whisper Tiny: 0.00%",.gradio\flagged\ Chart\93e9928ccd4c476cec78\latency_and_wer_comparison.png,"Total Runs: 6

Average Percentage Difference Latency: 9.60x
Average Absolute Difference Latency: 10.26 seconds

Average Moonshine Latency: 11.34 seconds
Average Faster-Whisper Tiny Latency: 1.07 seconds

Average Moonshine WER: 2.94%
Average Faster-Whisper Tiny WER: 3.87%",.gradio\flagged\ Cumulative Chart\ee4456e644530f6c210d\cumulative_latency_and_wer_comparison.png,2024-10-26 17:50:46.477701
"In the heart of the city, a hidden garden blooms, offering tranquility to those seeking refuge from the chaos.
",.gradio\flagged\ Google Text to Speech Audio Output\ecf27c3286e870704c92\tmp33reh5aw.wav,in the heart of the city a hidden garden blooms offering tranquillity to those seeking refuge from the chaos,in the heart of the city a hidden garden blooms offering tranquility to those seeking refuge from the chaos,"Percentage Difference Latency: 11.12x
Absolute Difference Latency: 11.44 seconds

Moonshine Latency: 12.47 seconds
Faster-Whisper Tiny Latency: 1.03 seconds

WER Moonshine: 5.26%
WER Faster-Whisper Tiny: 0.00%",.gradio\flagged\ Chart\29300ecd40a7f24a40e8\latency_and_wer_comparison.png,"Total Runs: 7

Average Percentage Difference Latency: 9.81x
Average Absolute Difference Latency: 10.43 seconds

Average Moonshine Latency: 11.50 seconds
Average Faster-Whisper Tiny Latency: 1.07 seconds

Average Moonshine WER: 3.27%
Average Faster-Whisper Tiny WER: 3.31%",.gradio\flagged\ Cumulative Chart\e861ca9402245e108a60\cumulative_latency_and_wer_comparison.png,2024-10-26 17:51:19.287289
"Technology evolves rapidly, shaping the way we live, work, and connect, often in ways we never imagined.
",.gradio\flagged\ Google Text to Speech Audio Output\747703e9e7d6bee7f50b\tmphln82tfa.wav,technology evolves rapidly shaping the way we live work and connect often in ways we never imagined,technology evolves rapidly shaping the way we live work and connect often in ways we never imagined,"Percentage Difference Latency: 8.63x
Absolute Difference Latency: 10.39 seconds

Moonshine Latency: 11.59 seconds
Faster-Whisper Tiny Latency: 1.20 seconds

WER Moonshine: 0.00%
WER Faster-Whisper Tiny: 0.00%",.gradio\flagged\ Chart\bcfa8dec02b595a103c2\latency_and_wer_comparison.png,"Total Runs: 8

Average Percentage Difference Latency: 9.67x
Average Absolute Difference Latency: 10.43 seconds

Average Moonshine Latency: 11.51 seconds
Average Faster-Whisper Tiny Latency: 1.08 seconds

Average Moonshine WER: 2.86%
Average Faster-Whisper Tiny WER: 2.90%",.gradio\flagged\ Cumulative Chart\513858d2724c7c627834\cumulative_latency_and_wer_comparison.png,2024-10-26 17:52:08.569953
"Friendship is like a flower; it needs nurturing to grow, and with care, it can blossom beautifully.
",.gradio\flagged\ Google Text to Speech Audio Output\de6dc14a900fcf48bbed\tmp858af0vv.wav,friendship is like a flower it needs nurturing to grow and with care it can blossom beautifully,friendship is like a flower it needs nurturing to grow and with care it can blossom beautifully,"Percentage Difference Latency: 10.68x
Absolute Difference Latency: 11.26 seconds

Moonshine Latency: 12.31 seconds
Faster-Whisper Tiny Latency: 1.05 seconds

WER Moonshine: 0.00%
WER Faster-Whisper Tiny: 0.00%",.gradio\flagged\ Chart\4e249f910ade92960273\latency_and_wer_comparison.png,"Total Runs: 9

Average Percentage Difference Latency: 9.78x
Average Absolute Difference Latency: 10.52 seconds

Average Moonshine Latency: 11.60 seconds
Average Faster-Whisper Tiny Latency: 1.08 seconds

Average Moonshine WER: 2.55%
Average Faster-Whisper Tiny WER: 2.58%",.gradio\flagged\ Cumulative Chart\428fce0f76dbc2c3ea00\cumulative_latency_and_wer_comparison.png,2024-10-26 17:52:44.850115
"She always believed that dreams could come true with hard work and perseverance, and she never gave up on them.
",.gradio\flagged\ Google Text to Speech Audio Output\c612bda78f08f64d49ee\tmp331fg_gg.wav,she always believed that dreams could come true with hard work and perseverance and she never gave up on them,she always believed that dreams could come true with hard work and perseverance and she never gave up on them,"Percentage Difference Latency: 9.11x
Absolute Difference Latency: 10.00 seconds

Moonshine Latency: 11.10 seconds
Faster-Whisper Tiny Latency: 1.10 seconds

WER Moonshine: 0.00%
WER Faster-Whisper Tiny: 0.00%",.gradio\flagged\ Chart\0069fb0ab98bcace54b4\latency_and_wer_comparison.png,"Total Runs: 10

Average Percentage Difference Latency: 9.71x
Average Absolute Difference Latency: 10.47 seconds

Average Moonshine Latency: 11.55 seconds
Average Faster-Whisper Tiny Latency: 1.08 seconds

Average Moonshine WER: 2.29%
Average Faster-Whisper Tiny WER: 2.32%",.gradio\flagged\ Cumulative Chart\ebe3605b554309a5bc9e\cumulative_latency_and_wer_comparison.png,2024-10-26 17:53:20.949823
